import time: self [us] | cumulative | imported package
import time:       576 |        576 |             torch.nn.modules.normalization
import time:       637 |        637 |             torch.nn.modules.padding
import time:       457 |        457 |             torch.nn.modules.pixelshuffle
import time:      1134 |       1134 |             torch.nn.modules.pooling
import time:       335 |        335 |                       torch.__future__
import time:       598 |        932 |                     torch.nn.utils.parametrize
import time:       951 |       1882 |                   torch.nn.utils.parametrizations
import time:       710 |        710 |                   torch.nn.utils.rnn
import time:       461 |        461 |                     torch.nn.utils._named_member_accessor
import time:       473 |        933 |                   torch.nn.utils.stateless
import time:       609 |        609 |                     torch.utils._foreach_utils
import time:       636 |       1245 |                   torch.nn.utils.clip_grad
import time:       439 |        439 |                   torch.nn.utils.convert_parameters
import time:       572 |        572 |                   torch.nn.utils.fusion
import time:       497 |        497 |                   torch.nn.utils.init
import time:       479 |        479 |                   torch.nn.utils.memory_format
import time:       536 |        536 |                   torch.nn.utils.spectral_norm
import time:       482 |        482 |                   torch.nn.utils.weight_norm
import time:       842 |       8614 |                 torch.nn.utils
import time:        20 |       8633 |               torch.nn.utils.rnn
import time:      3820 |      12453 |             torch.nn.modules.rnn
