backbone,radius,feather,hq_id,identity,location,missing_pixels,condition,full_face_lpips,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,8,0,25702,4555,eye_center,1966,mixed,0.009832881391048431,0.09714221954345703,16.81939152897488,0.001913170563057065,0.09623829275369644,0.08640246838331223,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,25702,4555,mouth_center,1966,accurate,0.03961038216948509,0.1836080700159073,12.966505914679185,0.0016987230628728867,,,0.029998779296875,0.0,0.0
lama,8,0,25702,4555,mouth_center,1966,under,0.038703516125679016,0.17823855578899384,13.081304817971894,0.00133059686049819,0.1141609251499176,,0.029998779296875,0.0,0.0059967041015625
lama,8,0,25702,4555,mouth_center,1966,over,0.04167728126049042,0.19739709794521332,12.406677535864116,0.002260312670841813,,0.09897110611200333,0.029998779296875,0.0059967041015625,0.0
lama,8,0,25702,4555,mouth_center,1966,mixed,0.04167728126049042,0.19739709794521332,12.406677535864116,0.002260312670841813,0.14349381625652313,0.09897110611200333,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,25702,4555,upper_image,1966,accurate,0.005371300503611565,0.04105975851416588,25.928172938639076,0.0006942079053260386,,,0.029998779296875,0.0,0.0
lama,8,0,25702,4555,upper_image,1966,under,0.0033224942162632942,0.031109416857361794,28.10609141902106,0.00039288733387365937,0.02302493341267109,,0.029998779296875,0.0,0.0059967041015625
lama,8,0,25702,4555,upper_image,1966,over,0.0058552296832203865,0.03468930348753929,27.515132320514482,0.0008564123418182135,,0.024781066924333572,0.029998779296875,0.0059967041015625,0.0
lama,8,0,25702,4555,upper_image,1966,mixed,0.0058552296832203865,0.03468930348753929,27.515132320514482,0.0008564123418182135,0.03195342794060707,0.024781066924333572,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,25702,4555,eye_center,3932,accurate,0.029777541756629944,0.107640840113163,16.28117406020306,0.0015924518229439855,,,0.05999755859375,0.0,0.0
lama,8,0,25702,4555,eye_center,3932,under,0.022657301276922226,0.09607172757387161,17.32963882420031,0.0006422852165997028,0.05713973939418793,,0.05999755859375,0.0,0.011993408203125
lama,8,0,25702,4555,eye_center,3932,over,0.04832065850496292,0.12099660933017731,15.309978647214411,0.002823407296091318,,0.07204248011112213,0.05999755859375,0.011993408203125,0.0
lama,8,0,25702,4555,eye_center,3932,mixed,0.04832065850496292,0.12099660933017731,15.309978647214411,0.002823407296091318,0.09766173362731934,0.07204248011112213,0.05999755859375,0.011993408203125,0.011993408203125
lama,8,0,25702,4555,mouth_center,3932,accurate,0.04611811414361,0.1488780528306961,13.762800154896945,0.0023497857619076967,,,0.05999755859375,0.0,0.0
lama,8,0,25702,4555,mouth_center,3932,under,0.04179562255740166,0.13889577984809875,14.476087133115175,0.0008919629617594182,0.06677860021591187,,0.05999755859375,0.0,0.011993408203125
lama,8,0,25702,4555,mouth_center,3932,over,0.05008113011717796,0.1375134438276291,14.357220122245117,0.0033935806713998318,,0.05150570347905159,0.05999755859375,0.011993408203125,0.0
lama,8,0,25702,4555,mouth_center,3932,mixed,0.05008113011717796,0.1375134438276291,14.357220122245117,0.0033935806713998318,0.05831111967563629,0.05150570347905159,0.05999755859375,0.011993408203125,0.011993408203125
lama,8,0,25702,4555,upper_image,3932,accurate,0.021971845999360085,0.06351462006568909,21.703546794295107,0.0015517484862357378,,,0.05999755859375,0.0,0.0
lama,8,0,25702,4555,upper_image,3932,under,0.020005755126476288,0.04545481875538826,23.56644087291192,0.0005833322065882385,0.02385208010673523,,0.05999755859375,0.0,0.011993408203125
lama,8,0,25702,4555,upper_image,3932,over,0.026185432448983192,0.06698493659496307,21.03105224709981,0.0021887619514018297,,0.050047263503074646,0.05999755859375,0.011993408203125,0.0
lama,8,0,25702,4555,upper_image,3932,mixed,0.026185432448983192,0.06698493659496307,21.03105224709981,0.0021887619514018297,0.04589336737990379,0.050047263503074646,0.05999755859375,0.011993408203125,0.011993408203125
